instruct_text,this_pic,rolePic,job,instruct_text2,Q1,Q2,Q3,Q4,D1,D2,roleName,instructText,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,key_resp_8.keys,key_resp_8.rt,key_resp_2.keys,key_resp_2.rt,key_resp_6.keys,key_resp_6.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,participant,session,date,expName,psychopyVersion,frameRate,
Welcome to the Job Simulator Task!,instructions_photos/pixel.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.906659020001825,,,,,,,,,,,,,,,,,,,,,030419_p2,001,2019_Mar_04_1408,part1_subjective_segmentation,3.0.4,59.84637256394295,
"In this task, you'll be assuming various perspectives of jobs while reading stories. ",None,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.8863773870034493,,,,,,,,,,,,,,,,,,,,,030419_p2,001,2019_Mar_04_1408,part1_subjective_segmentation,3.0.4,59.84637256394295,
"First, you’ll be introduced to the perspectives of 8 different jobs. ",instructions_photos/i1.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.1717825300002005,,,,,,,,,,,,,,,,,,,,,030419_p2,001,2019_Mar_04_1408,part1_subjective_segmentation,3.0.4,59.84637256394295,
"For example, you may be asked to take on the perspective of a Restaurant Critic while you read a story that takes place in a restaurant. ",jobphotos/restaurant_critic.jpg,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.586912771999778,,,,,,,,,,,,,,,,,,,,,030419_p2,001,2019_Mar_04_1408,part1_subjective_segmentation,3.0.4,59.84637256394295,
"You’ll learn 4 questions associated with each perspective, and you should keep them in mind while reading the story while assuming that perspective. ",instructions_photos/i2.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,12.270009917003335,,,,,,,,,,,,,,,,,,,,,030419_p2,001,2019_Mar_04_1408,part1_subjective_segmentation,3.0.4,59.84637256394295,
"For example, if you are a Restaurant Critic, you’ll learn to ask questions about the restaurant decor, menus, and the enjoyment of the food. ",jobphotos/restaurant_critic.jpg,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,7.086992550001014,,,,,,,,,,,,,,,,,,,,,030419_p2,001,2019_Mar_04_1408,part1_subjective_segmentation,3.0.4,59.84637256394295,
"After learning all the questions in a series of pre-task quizzes, you’ll read 8 stories, applying one perspective you’ve learned to each one. ",instructions_photos/i3.png,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,9.436867784999777,,,,,,,,,,,,,,,,,,,,,030419_p2,001,2019_Mar_04_1408,part1_subjective_segmentation,3.0.4,59.84637256394295,
"While reading, try to keep in mind the perspective and questions. ",instructions_photos/i3.png,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.736260191995825,,,,,,,,,,,,,,,,,,,,,030419_p2,001,2019_Mar_04_1408,part1_subjective_segmentation,3.0.4,59.84637256394295,
"After you’re finished reading all the stories, you will be asked to recall the stories and answer questions about them. ",instructions_photos/i4.png,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.603390600001148,,,,,,,,,,,,,,,,,,,,,030419_p2,001,2019_Mar_04_1408,part1_subjective_segmentation,3.0.4,59.84637256394295,
Let’s begin! The 8 perspectives are as follows:,None,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.8525520129987854,,,,,,,,,,,,,,,,,,,,,030419_p2,001,2019_Mar_04_1408,part1_subjective_segmentation,3.0.4,59.84637256394295,
,,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.7035494779993314,,,,,,,,,,,,,,,,,,,030419_p2,001,2019_Mar_04_1408,part1_subjective_segmentation,3.0.4,59.84637256394295,
,,jobphotos/couples.jpeg,"Couples Therapist
",,,,,,,,,,,,,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.3863789800016093,,,,,,,,,,,,,,,,,,,030419_p2,001,2019_Mar_04_1408,part1_subjective_segmentation,3.0.4,59.84637256394295,
,,jobphotos/matchmaker.jpg,Matchmaker,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.7697907719993964,,,,,,,,,,,,,,,,,,,030419_p2,001,2019_Mar_04_1408,part1_subjective_segmentation,3.0.4,59.84637256394295,
,,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.1530628569962573,,,,,,,,,,,,,,,,,,,030419_p2,001,2019_Mar_04_1408,part1_subjective_segmentation,3.0.4,59.84637256394295,
,,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,,,,,,,,,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.3531987450041925,,,,,,,,,,,,,,,,,,,030419_p2,001,2019_Mar_04_1408,part1_subjective_segmentation,3.0.4,59.84637256394295,
,,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.3534376199968392,,,,,,,,,,,,,,,,,,,030419_p2,001,2019_Mar_04_1408,part1_subjective_segmentation,3.0.4,59.84637256394295,
,,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.9034026000008453,,,,,,,,,,,,,,,,,,,030419_p2,001,2019_Mar_04_1408,part1_subjective_segmentation,3.0.4,59.84637256394295,
,,jobphotos/business_reporter.jpg,Business Reporter,,,,,,,,,,,,,,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7863507779984502,,,,,,,,,,,,,,,,,,,030419_p2,001,2019_Mar_04_1408,part1_subjective_segmentation,3.0.4,59.84637256394295,
You’ll become acquainted with these perspectives more in the following pre-task quizzes where you’ll learn the questions associated with each perspective. ,,,,(press space to continue),,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,7.703392335002718,,,,,,,,,,,,,,,,,030419_p2,001,2019_Mar_04_1408,part1_subjective_segmentation,3.0.4,59.84637256394295,
You’ll first go through all four questions for each perspective. ,,,,None,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,space,5.502352440998948,,,,,,,,,,,,,,,,,030419_p2,001,2019_Mar_04_1408,part1_subjective_segmentation,3.0.4,59.84637256394295,
"Then, you’ll indicate the order in which you saw the questions during the quiz by pressing the number in front of the question. ",,,,None,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,space,14.905125536999549,,,,,,,,,,,,,,,,,030419_p2,001,2019_Mar_04_1408,part1_subjective_segmentation,3.0.4,59.84637256394295,
"If you indicate the wrong question during the quiz, you’ll restart the learning.",,,,None,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,space,6.65429394000239,,,,,,,,,,,,,,,,,030419_p2,001,2019_Mar_04_1408,part1_subjective_segmentation,3.0.4,59.84637256394295,
"After you’ve passed the learning for each perspective, you’ll have a round of final quizzes. ",,,,None,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,space,5.220214945002226,,,,,,,,,,,,,,,,,030419_p2,001,2019_Mar_04_1408,part1_subjective_segmentation,3.0.4,59.84637256394295,
Press the space bar to begin the quizzes. ,,,,None,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,space,16.588163845000963,,,,,,,,,,,,,,,,,030419_p2,001,2019_Mar_04_1408,part1_subjective_segmentation,3.0.4,59.84637256394295,
,,jobphotos/gscem.jpg,,,"What is the grocery store like upon entering?
","What items do the clients pick out?
","How is the checkout line and how long do the clients wait in line?
","How much are the groceries and what method of payment do the clients use?
",How long does it take for the cashier to scan all of the customers’ groceries?,What type of grocery bags do the clients use?,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,0,0,0,5,0,0,0,0,,,,,,,,,,,,,,,,,,,space,3.9035570599953644,space,7.203558280001744,space,3.687044495003647,space,2.319946740004525,space,8.320699923002394,space,1.469382677001704,,,,,030419_p2,001,2019_Mar_04_1408,part1_subjective_segmentation,3.0.4,59.84637256394295,
,,jobphotos/gscem.jpg,,,"What is the grocery store like upon entering?
","What items do the clients pick out?
","How is the checkout line and how long do the clients wait in line?
","How much are the groceries and what method of payment do the clients use?
",How long does it take for the cashier to scan all of the customers’ groceries?,What type of grocery bags do the clients use?,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,030419_p2,001,2019_Mar_04_1408,part1_subjective_segmentation,3.0.4,59.84637256394295,
,,jobphotos/matchmaker.jpg,,,"Who notices whom first and why do they notice the other?
","How does the couple start talking?
","Which of the people proposes going on an actual date and what do they propose?
","Who leaves first and why do they have to go?
",Is the couple going to get married?,Who shows more interest?,Matchmaker,,,,,,,,,,,,,,0,1,1,2,0,0,0,0,,,,,,,,,,,,,,,,,,,space,4.470392495000851,space,10.551457589994243,space,2.703256560002046,space,13.734706772003847,space,1.78658908700163,space,0.8365470900025684,,,,,030419_p2,001,2019_Mar_04_1408,part1_subjective_segmentation,3.0.4,59.84637256394295,
,,jobphotos/matchmaker.jpg,,,"Who notices whom first and why do they notice the other?
","How does the couple start talking?
","Which of the people proposes going on an actual date and what do they propose?
","Who leaves first and why do they have to go?
",Is the couple going to get married?,Who shows more interest?,Matchmaker,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,030419_p2,001,2019_Mar_04_1408,part1_subjective_segmentation,3.0.4,59.84637256394295,
,,jobphotos/acem.jpg,,,"When the travelers arrive at the airport, how much time do they have to go through the airport?
","What do the travelers have to do at security to comply with the security check?
","How do the travelers feel when they are walking to the gates?
",Where does each traveler sit on the plane?,Are the security guards friendly or rude?,Are the airport restrooms clean?,Airport Customer Experience Manager,,,,,,,,,,,,,,0,2,2,4,0,0,0,0,,,,,,,,,,,,,,,,,,,space,2.3360283899964998,space,4.886765495000873,space,7.237635890000092,space,1.969268719003594,space,1.8535021880015847,space,0.7861386200020206,,,,,030419_p2,001,2019_Mar_04_1408,part1_subjective_segmentation,3.0.4,59.84637256394295,
