instruct_text,rolePic,job,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_19.keys,key_resp_19.rt,key_resp_20.keys,key_resp_20.rt,key_resp_21.keys,key_resp_21.rt,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_7.keys,key_resp_7.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.084182367001631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082819_p1,001,2019_Aug_28_1219,part1_subjective_segmentation,3.0.4,59.95752728763163,
"In this experiment, you will be assuming the perspectives of various jobs while listening to short stories.",,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.086489412999072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082819_p1,001,2019_Aug_28_1219,part1_subjective_segmentation,3.0.4,59.95752728763163,
"There are 4 parts of the experiment, and, before you begin, we'll give you a brief overview of all the parts. ",,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.937306053001521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082819_p1,001,2019_Aug_28_1219,part1_subjective_segmentation,3.0.4,59.95752728763163,
1,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7530955549991631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082819_p1,001,2019_Aug_28_1219,part1_subjective_segmentation,3.0.4,59.95752728763163,
"In the first part, you'll be introduced to the perspectives of 8 different jobs.",,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.4201300269996864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082819_p1,001,2019_Aug_28_1219,part1_subjective_segmentation,3.0.4,59.95752728763163,
"For each short story, you'll be assigned one of these perspectives to assume while you listen to it. ",,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.270268219999707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082819_p1,001,2019_Aug_28_1219,part1_subjective_segmentation,3.0.4,59.95752728763163,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.120209278000402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082819_p1,001,2019_Aug_28_1219,part1_subjective_segmentation,3.0.4,59.95752728763163,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,11.73720995000258,,,,,,,,,,,,,,,,,,,,,,,,,,,082819_p1,001,2019_Aug_28_1219,part1_subjective_segmentation,3.0.4,59.95752728763163,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,11.286746468002093,,,,,,,,,,,,,,,,,,,,,,,,,082819_p1,001,2019_Aug_28_1219,part1_subjective_segmentation,3.0.4,59.95752728763163,
The 4 questions for each perspective are learned with quizzes in this first part of the experiment. ,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.667786076999619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082819_p1,001,2019_Aug_28_1219,part1_subjective_segmentation,3.0.4,59.95752728763163,
