instruct_text,count,Q1,Q2,Q3,Q4,D1,D2,roleName,rolePic,instruct1.thisRepN,instruct1.thisTrialN,instruct1.thisN,instruct1.thisIndex,instruct3.thisRepN,instruct3.thisTrialN,instruct3.thisN,instruct3.thisIndex,instruct4.thisRepN,instruct4.thisTrialN,instruct4.thisN,instruct4.thisIndex,instruct5.thisRepN,instruct5.thisTrialN,instruct5.thisN,instruct5.thisIndex,count_4.thisRepN,count_4.thisTrialN,count_4.thisN,count_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,instruct6.thisRepN,instruct6.thisTrialN,instruct6.thisN,instruct6.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_12.started,text_12.stopped,image_11.started,image_11.stopped,image_12.started,image_12.stopped,text_17.started,text_17.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,participant,sA,sB,lA,lB,date,expName,psychopyVersion,frameRate,
Welcome to the job simulator task! ,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,11.883689754002262,None,space,0.4767721899988828,11.883689754002262,None,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1451,training_fmri,3.2.1,59.93269139117859,
In this experiment you will listen to 12 short stories. ,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,12.41702044900012,None,space,0.7946244430058869,12.41702044900012,None,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1451,training_fmri,3.2.1,59.93269139117859,
"During some of these stories, we will ask you to take on the perspective of a type of job. ",,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,13.267261298999074,None,space,1.6143084600043949,13.267261298999074,None,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1451,training_fmri,3.2.1,59.93269139117859,
"In other words, you should try to listen to the story from the perspective of that job. This is called “job simulation.”",,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,14.934129683999345,None,space,3.8272527270019054,14.934129683999345,None,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1451,training_fmri,3.2.1,59.93269139117859,
You will be told the job to simulate before each story. ,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,18.801024603999394,None,space,1.6017827300020144,18.801024603999394,None,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1451,training_fmri,3.2.1,59.93269139117859,
"Some stories, however, will not have any job assigned to them, and you can simply listen to the story.",,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,20.484307819002424,None,space,2.8317598799985717,20.484307819002424,None,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1451,training_fmri,3.2.1,59.93269139117859,
"In this part of the experiment outside of the scanner, we will introduce you to four perspectives you will be asked to take on.",,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,23.367896166004357,None,space,4.476075699996727,23.367896166004357,None,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1451,training_fmri,3.2.1,59.93269139117859,
"For each perspective, you'll also learn 4 questions associated with it to use when listening to a story.",,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,27.884961404000933,None,space,3.8971438700027647,27.884961404000933,None,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1451,training_fmri,3.2.1,59.93269139117859,
We encourage you to keep these questions in mind while listening to the story while simulating the associated perspective.,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,31.868434600997716,None,space,1.8893541299985372,31.868434600997716,None,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1451,training_fmri,3.2.1,59.93269139117859,
"When you are in the scanner, you will listen to the 12 short stories.",,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,33.818533878999006,None,space,1.4510617799969623,33.818533878999006,None,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1451,training_fmri,3.2.1,59.93269139117859,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.0085808820003876,35.302151174000755,None,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1451,training_fmri,3.2.1,59.93269139117859,
"Before listening to each story, you may be assigned one of the perspectives to take on while listening to it.",,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,36.38547101400036,None,space,0.6331807299939101,36.38547101400036,None,,,,,35.302151174000755,None,35.302151174000755,None,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1451,training_fmri,3.2.1,59.93269139117859,
"If a perspective is assigned, you’ll be quizzed on the 4 questions associated with it before listening.",,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,37.08561542900134,None,space,0.47697904000233393,37.08561542900134,None,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1451,training_fmri,3.2.1,59.93269139117859,
You must pass this quiz to move on to the story.,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,37.61867808399984,None,space,0.38193886799854226,37.61867808399984,None,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1451,training_fmri,3.2.1,59.93269139117859,
